ID,post_type,post_status,post_name,post_title,post_content,post_excerpt,post_author,post_date,post_modified,post_thumbnail,post_parent,menu_order,post_tags,post_category,summary,seo_title,image,book_star,amazon_url,author,publisher,price,no_price,type,reread,text,reread_2,text_2,reread_3,text_3,reread_4,text_4,reread_5,text_5,status,auto_update_uri,ao_post_optimize,views,post_views_count,bzb_meta_keywords,bzb_meta_description,bzb_meta_robots,bzb_post_asset_js4head,bzb_post_asset_css,bzb_post_asset_js,bzb_cta,bzb_post_front_info,bzb_checklists,bzb_show_toppage_flag,bzb_include_rss,bzb_post_social_buttons,title,no-price
,books,publish,stupid-internet,ネットのバカ,著者の容貌を言うのはルール違反な気はするが、見た目に反してなかなかに骨太な主張が詰まっていた。少なくとも私は読んでよかったと、素直に思う。,,2,2016-06-22 1:42:15,2020-07-23 1:42:44,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41xJpiEXdOL._SX315_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4106105306/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4106105306&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,中川 淳一郎,新潮社,258,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,1,94,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,living-room-justice,茶の間の正義,さすがの山本夏彦先生。勝手に私の師匠だと思っております。,,2,2016-06-13 1:50:18,2020-07-23 1:52:18,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2016/06/51D9ZBM7F6L._SX327_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4122042488/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4122042488&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,山本 夏彦,中央公論新社,275,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,1,99,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,structure-of-color-preference-the-depth-of-dynasty-culture,色好みの構造――王朝文化の深層,"女たらし、あるいは男たらしの構造だろうと踏んで読み始めたが、意外に高尚な内容。特に巻末の一文に感じるものがあった。
 
 『長い研究と経験との結果、自分は男女関係というものは罪悪とは関係のないものであるという結論に達した。それは人間の意志によって支配できないから、責任問題は発生しないのである。それは宿命のいたすところであり、従って獣姦といえども、その当人の恥とはならない……』
 
 人間の性愛、性衝動のなんたるかにしみじみとなる。。。",,2,2016-06-13 1:53:16,2020-07-23 1:55:49,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41u2SQ4ZtxL._SX304_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4004203198/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4004203198&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,中村 真一郎,岩波書店,,購入価格: 不明,,,,,,,,,,,,,,,1,93,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,writing-instruction,文章読本,よい本。勉強になった。文章読本なる読み物は、様々な文筆家が書いていることを知り、すべて読破しようと思った次第。とりあえず、次は丸谷才一のを。,,2,2016-06-06 1:56:54,2020-07-23 1:58:43,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41XAHTy9PL._SX345_BO1204203200_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4167170027/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4167170027&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,向井 敏,向井 敏,258,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,4,74,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,the-shallows-what-the-internet-is-doing-in-our-brain,ネット・バカ　インターネットがわたしたちの脳にしていること,今月の読書会の課題本。今回は初めて私がレジュメを書き発表させていただきます。よろしくお願い致します。,,2,2016-06-01 2:15:09,2020-07-23 2:18:13,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/411hsz0NJtL._SX348_BO1204203200_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4791765559/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4791765559&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,"ニコラス・Ｇ・カー (著), 篠儀直子 (翻訳)",青土社,1466,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,1,96,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,go-to-bone-river,骨川に行く,素晴らしき小説。なんともいえない味わい深さ。珍しくまたいつか読み返したい。,,2,2016-06-01 2:18:25,2020-07-23 2:21:17,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2016/06/51980GGb3HL._SX373_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/B000J95LW4/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=B000J95LW4&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,森内 俊雄,新潮社,450,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,0,78,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,naive-high-pillow,世間知らずの高枕,山本先生のご本。私がいま一番尊敬しているお方です。感銘受けすぎて、最近の私のブログは山本色でべったりです。影響受けるだけ受けて消化したいと思います。,,2,2016-05-24 2:21:58,2020-07-23 2:33:45,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/51J9RYKSK3L._SL500_.jpg,"</i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4101350140/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4101350140&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,山本 夏彦,新潮社,258,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,1,71,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,hikarugenji-life,光源氏の一生,初めて源氏物語の全体像を知った。なるほどなあと、勉強になったが、原文を全部読むかと言われれば、気が向けばとしかいいようがなく、もういいや、という気もする。,,2,2016-05-20 2:34:45,2020-07-23 2:37:06,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/51ykxexbdL._SL500_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/B000JAGKKA/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=B000JAGKKA&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,池田 弥三郎,講談社,,購入価格: 不明,,,,,,,,,,,,,,,1,71,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,the-three-companies-that-i-entered-from-waseda-university-were-all-black,早大を出た僕が入った3つの企業は、すべてブラックでした,読書会メンバーにお借りした本。まあ、こういう〈生きづらい性格〉のうえに、〈不運〉という二重苦の人もいるんだろうな、ふうん、という感じ。とりあえず、仕事なんか本気でやるもんじゃない、クビ上等で生きていけと言ってやりたい。しかし、これを読むべき人が誰なのかは、正直よくわからない。,,2,2016-05-20 2:37:25,2020-07-23 2:39:01,,0,0,,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/51J2jbiheIL._SX340_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/406219435X/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=406219435X&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,小林 拓矢,講談社,,購入価格: 人に借りた(0円),,,,,,,,,,,,,,,0,73,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
,books,publish,av-actress-as-a-profession,職業としてのAＶ女優,将来、もしも自分に娘が出来て年頃になったら読ませたい。若気の至りというのは無数にあるが、その中でもAV、風俗の入り口は、あまりにも広く、出口は狭い。,,2,2016-05-15 2:52:02,2020-07-23 2:53:39,,0,0,book,book-review,,,https://test.b2i.link/wp-content/uploads/2020/07/41VMlP-XuhL._SX316_BO1204203200_.jpg,"<i class=""fa fa-star"" aria-hidden=""true""></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i></i><i class=""fa fa-star"" aria-hidden=""true""></i>",https://www.amazon.co.jp/dp/product/4344982649/ref=as_li_tf_tl?camp=247&creative=1211&creativeASIN=4344982649&ie=UTF8&linkCode=as2&tag=bookmeter_book_image_image_pc_login-22,中村 淳彦,幻冬舎,275,購入価格: Kindle Unlimited(0円),,,,,,,,,,,,,,,2,68,,,"a:2:{i:0;s:0:"""";i:1;s:0:"""";}",,,,"a:5:{s:9:""org_title"";s:0:"""";s:9:""org_image"";s:0:"""";s:11:""org_content"";s:0:"""";s:15:""org_button_text"";s:0:"""";s:14:""org_button_url"";s:0:"""";}","a:2:{s:4:""ruby"";s:0:"""";s:5:""catch"";s:0:"""";}","a:1:{i:0;s:0:"""";}",,,,,
